1.057455333113079178e+03,2.868843711540560548e+02,3.313465274140809242e+02,5.455678015857332639e+02,3.989000822053390607e+02,3.494021588199994426e+02,2.245751627086306996e+02,1.979384876369236963e+02,1.959772732618033899e+02,1.402692713816748267e+02,1.362741027695568050e+02,1.090953278577584911e+02,4.916825692199329012e+01,5.661645694247611971e+01,2.377943409963204147e+01,8.624121821173420699e+01,8.483552038946206153e+01,8.229559499729519700e+01,5.010911459940116686e+01,5.685135021144420620e+01,3.919881734213861790e+01,1.320342033780795710e+01,4.618362965665289721e+01,1.829740695498213299e+01,1.106325202396728127e+04,2.702123065489689907e+04,4.075928669734628056e+04,6.803003240720505710e+04,3.938221574021716515e+04,2.068756345597753898e+04,1.375829643116741136e+04,1.370796614629777105e+04,1.228474333949348693e+04,1.090725674648765198e+04,9.868572621548340976e+03,5.310979622805169129e+03,3.174299530409633462e+03,6.277256092300724049e+03,8.790932461456848614e+03,1.404881715514234384e+04,7.976743456257323487e+03,4.077208021731678400e+03,2.714701362568883269e+03,3.066278465427147239e+03,2.759371519598112172e+03,1.399300366301146141e+03,5.083773089279821988e+02
2.868843711540560548e+02,8.589063348134537819e+02,4.524747279135353892e+02,7.217854411507802297e+02,6.367114356943734492e+02,5.420645286847833404e+02,3.193049908649056761e+02,3.870627499173549495e+02,2.864596571922755857e+02,2.035130602911053188e+02,1.807274695942920459e+02,1.660735809011660535e+02,5.029837055232758303e+01,6.263889348587768779e+01,1.162351003577314970e+02,1.207165077121149181e+02,8.203616144942439803e+01,8.480276291323971805e+01,6.311854255865437580e+01,3.912030974928264726e+01,4.067086116953188224e+01,2.931772985541458354e+01,2.708601116408878084e+01,2.477013218041758336e+01,1.147749087781609887e+04,3.197862985959267098e+04,5.112817019028725917e+04,8.746330755713899271e+04,5.255113985099748243e+04,2.921297630308802763e+04,1.974943751237611286e+04,2.032510710982852834e+04,1.823675644445955913e+04,1.558175313279996044e+04,1.428548100174447609e+04,7.655726598105200537e+03,2.980074963303072764e+03,6.288770630162398447e+03,8.615017606072447961e+03,1.372533462021500964e+04,7.869093284435587520e+03,4.152485099356226783e+03,2.781031331604786828e+03,3.075608498456411326e+03,2.751630198773144002e+03,1.439877227187414064e+03,5.131180936115454188e+02
3.313465274140809242e+02,4.524747279135353892e+02,1.039938033586534402e+03,9.123826194047635454e+02,7.648346649898746819e+02,6.484801930325728563e+02,4.191246186520589845e+02,4.173391540445664987e+02,3.388330659307258088e+02,2.611753109785873903e+02,2.247373238780571114e+02,1.920330453250479366e+02,4.927286509876782361e+01,6.936857148394025785e+01,9.968155882952268598e+01,1.195692702566715582e+02,8.610639374533050727e+01,8.689444929736788481e+01,6.286701225502387302e+01,4.700689068168807694e+01,4.756916104688029634e+01,2.633730508653144042e+01,3.620695615468606832e+01,2.473988094359793877e+01,1.189846091036312464e+04,3.664797410847267747e+04,6.090098730723193148e+04,1.068707908234495262e+05,6.491414552779412770e+04,3.681188419426429027e+04,2.514791385211097077e+04,2.556556379397627461e+04,2.258393785679604480e+04,1.895181797020769955e+04,1.713601055836316664e+04,9.097039514652680737e+03,3.022621307496142435e+03,6.442900146750793283e+03,8.951311583209471792e+03,1.438073974004441334e+04,8.258340418241432417e+03,4.381652339633071279e+03,2.977029702943393204e+03,3.310152344577849362e+03,2.914806679158561565e+03,1.503208476494579600e+03,5.503178396460311887e+02
5.455678015857332639e+02,7.217854411507802297e+02,9.123826194047635454e+02,2.256878842685464406e+03,1.360137291064667806e+03,1.143501977086388251e+03,7.695081708266679925e+02,7.419245448521885464e+02,6.004315661914733937e+02,4.812237983345602288e+02,4.001670663182445651e+02,3.438392276388862001e+02,7.159728886440913698e+01,9.323205437010118146e+01,1.377862225653628627e+02,1.775563325879813590e+02,1.342384114266557731e+02,1.322819131013846743e+02,9.571346012744824350e+01,7.330085275856596638e+01,7.263577921738942678e+01,4.319639546912976868e+01,5.739380410758921869e+01,4.337287840823185547e+01,1.751355444770145550e+04,6.060830482079539797e+04,1.043393091035012912e+05,1.875509892675976735e+05,1.149449880637161841e+05,6.620546780751383631e+04,4.541407960693383939e+04,4.569874220106736175e+04,4.012004051667882595e+04,3.306409080457050732e+04,2.959990297263731918e+04,1.563705438106607835e+04,4.385937721956167479e+03,9.578821528448645040e+03,1.341518157920097110e+04,2.159632862080680206e+04,1.235842063844122458e+04,6.638663808104347481e+03,4.531393961326565659e+03,5.037390159294320256e+03,4.306215568937749595e+03,2.237066479640094258e+03,8.374584317477849709e+02
3.989000822053390607e+02,6.367114356943734492e+02,7.648346649898746819e+02,1.360137291064667806e+03,1.737696561456385552e+03,9.750873256731174479e+02,6.566802121889421642e+02,6.747351445542375359e+02,5.142742592239403621e+02,4.074991545635608645e+02,3.400736732083519200e+02,2.936227112736238496e+02,6.248803660989164399e+01,7.601519599953880402e+01,1.489895896662908683e+02,1.605248619619500232e+02,1.124575317932666962e+02,1.103322719238927050e+02,8.369095352288324818e+01,5.474550294511391257e+01,5.801120123608005485e+01,4.152118910169997434e+01,4.078871256657795641e+01,3.915890535207621781e+01,1.445861366149032619e+04,5.051598204679370974e+04,8.732906340023972734e+04,1.570315282637259515e+05,9.672308947781399183e+04,5.589039403332904476e+04,3.841540977058671706e+04,3.886172664924721175e+04,3.411302601110302203e+04,2.807146473397968293e+04,2.523802365729508165e+04,1.330760513096889554e+04,3.592590662034141133e+03,7.966081541470283810e+03,1.107734041429994068e+04,1.777632694874160370e+04,1.016521685814516968e+04,5.497553610641056366e+03,3.757862278160388996e+03,4.143172651092687374e+03,3.537358824327372531e+03,1.854308317459593582e+03,6.872024417981260740e+02
3.494021588199994426e+02,5.420645286847833404e+02,6.484801930325728563e+02,1.143501977086388251e+03,9.750873256731174479e+02,1.251181884780375640e+03,5.499589827787856393e+02,5.872081621715071833e+02,4.320467593879029096e+02,3.499387287813070202e+02,2.907112230955475525e+02,2.506912620250310511e+02,5.449183856511358215e+01,6.642990439256097090e+01,1.287036238467546241e+02,1.432089455000813984e+02,9.884019371118695574e+01,9.822222995496495912e+01,7.732780062360791362e+01,4.886530575453500091e+01,5.130326979757550987e+01,3.851783855852352190e+01,3.459107647025371080e+01,3.617011785429857440e+01,1.290268870485278785e+04,4.356950843802801683e+04,7.433064629693617462e+04,1.325927656816757517e+05,8.129530352926169871e+04,4.688415374535525916e+04,3.216886306622914708e+04,3.267785956490632816e+04,2.884310686546185025e+04,2.388733980485883512e+04,2.144618443215074512e+04,1.136078560857748562e+04,3.232142881963341097e+03,7.143244790697954159e+03,9.908358755858203949e+03,1.590560545142761839e+04,9.101212177565030288e+03,4.888935563289251149e+03,3.334937591967315257e+03,3.696186216089673508e+03,3.185755461705612106e+03,1.656866031898747678e+03,6.131614129897048997e+02
2.245751627086306996e+02,3.193049908649056761e+02,4.191246186520589845e+02,7.695081708266679925e+02,6.566802121889421642e+02,5.499589827787856393e+02,7.348108139676892279e+02,3.740179566833757576e+02,2.869225893623389538e+02,2.367876754446574523e+02,2.002600703657660972e+02,1.623162129910587055e+02,2.972649120157223024e+01,3.553630563816112442e+01,6.042145657515577994e+01,8.063770237379996786e+01,6.171939175088854768e+01,5.788101945234748769e+01,4.475501772480242124e+01,3.223289926424412499e+01,3.036104148500800193e+01,2.284290057971838195e+01,2.556554659539425245e+01,2.197394525130734166e+01,7.374309678134665774e+03,2.745088496395584662e+04,4.839585877573218750e+04,8.850486116950353608e+04,5.485833799120230105e+04,3.189273302941079965e+04,2.203134583800343898e+04,2.210296300881665957e+04,1.929621718086207329e+04,1.576189450373488035e+04,1.398046987658016042e+04,7.324118174800341876e+03,1.833913516428328876e+03,4.113721675575552581e+03,5.836453459672541612e+03,9.450149627919166960e+03,5.398446429156581871e+03,2.921387403438257934e+03,2.019372859255157891e+03,2.226996211846178994e+03,1.892290284158798613e+03,9.690607168943728311e+02,3.703297257402048785e+02
1.979384876369236963e+02,3.870627499173549495e+02,4.173391540445664987e+02,7.419245448521885464e+02,6.747351445542375359e+02,5.872081621715071833e+02,3.740179566833757576e+02,7.699880011428118678e+02,2.994270458468230913e+02,2.374084381933807038e+02,2.032321643626727905e+02,1.779392724402702584e+02,3.756851407221230232e+01,4.138583711776215068e+01,1.130953070452172256e+02,1.093532877268085741e+02,6.996547903459168083e+01,7.036938824296665018e+01,5.922749168451949231e+01,2.535543080913095437e+01,3.113812992560747972e+01,3.505418172163398083e+01,1.536046271790066164e+01,2.967868756638500471e+01,8.788615202150085679e+03,2.906448591563209266e+04,4.922629620240679651e+04,8.719228449655002623e+04,5.365951103251196037e+04,3.107995663505554694e+04,2.139179865475445331e+04,2.199278537544456776e+04,1.951255104910321097e+04,1.619207546346054733e+04,1.463981419104186352e+04,7.758202193619910759e+03,2.181161572453282588e+03,4.910055160338051792e+03,6.746652208699834773e+03,1.079768790488831473e+04,6.183608645378320944e+03,3.341437996688485327e+03,2.273917407582845044e+03,2.495356888626731234e+03,2.154364029462711187e+03,1.140344295811867141e+03,4.160907188212670462e+02
1.959772732618033899e+02,2.864596571922755857e+02,3.388330659307258088e+02,6.004315661914733937e+02,5.142742592239403621e+02,4.320467593879029096e+02,2.869225893623389538e+02,2.994270458468230913e+02,5.003780739256915240e+02,1.820072851400373963e+02,1.539556855929231745e+02,1.348155509069936215e+02,2.959271521700301122e+01,3.626696314980307534e+01,6.324776917781373697e+01,7.603406594443228528e+01,5.605519761914979426e+01,5.415832172898651464e+01,4.025427092079959834e+01,2.702088051605342400e+01,2.761014115035412075e+01,1.947859650642589457e+01,2.118990489579564240e+01,1.921607524939806666e+01,6.850536869060883873e+03,2.293728713780460748e+04,3.904763801949932531e+04,6.984959282665944193e+04,4.294021093384392589e+04,2.467970983754315239e+04,1.693835327189974487e+04,1.713835704806640933e+04,1.513850664192890144e+04,1.252676251187948037e+04,1.122682310366526144e+04,5.944457279449974521e+03,1.766737195978533236e+03,3.901624222384185032e+03,5.452347219169860182e+03,8.743282026815091740e+03,4.972728377513590203e+03,2.664657948387902252e+03,1.809224168858563189e+03,1.998112116672981983e+03,1.711693253899556112e+03,8.992726813306600206e+02,3.323758032464654661e+02
1.402692713816748267e+02,2.035130602911053188e+02,2.611753109785873903e+02,4.812237983345602288e+02,4.074991545635608645e+02,3.499387287813070202e+02,2.367876754446574523e+02,2.374084381933807038e+02,1.820072851400373963e+02,3.450694166013811355e+02,1.225732515920322783e+02,1.075003367759572939e+02,2.088571877800390197e+01,2.505559350719896017e+01,4.328525471092049060e+01,5.393824781333321994e+01,4.063535870665899807e+01,3.822698444141464336e+01,2.890341042478114275e+01,2.124704545023153912e+01,2.101110449387968515e+01,1.387276769594794601e+01,1.575125796917177112e+01,1.564026998968006055e+01,4.646419407313087504e+03,1.735742978432074960e+04,3.028776261599501231e+04,5.490647059030789387e+04,3.393561333039277815e+04,1.979704831584164640e+04,1.368789877447928666e+04,1.381437093972233379e+04,1.213695755765170361e+04,9.947827825557387769e+03,8.837731447085116088e+03,4.644715118266769423e+03,1.201286316207770369e+03,2.727969200115454441e+03,3.811200559755245195e+03,6.134525339340469145e+03,3.466285402493354013e+03,1.863366214018666142e+03,1.280270546481653582e+03,1.423443349252494954e+03,1.193039622971010431e+03,6.200086140238702228e+02,2.354125159259211557e+02
